geography,period,metric,value,unit,source,note
Piracicaba,2013-Apr2023,Female same-sex marriages share,64.0,percent,CRC/Arpen via Sampi 2023,153 of 239 accumulated registrations
Piracicaba,2024,Same-sex marriages,62,count,Arpen via Sampi 2025,Reported as a local record
Sao Paulo,2013-2024,Same-sex marriages accumulated,37625,count,Fundacao Seade,Accumulated total; not comparable as a one-year count
Sao Paulo,2013,Share of all marriages,0.7,percent,Fundacao Seade,
Sao Paulo,2024,Share of all marriages,1.8,percent,Fundacao Seade,
Sao Paulo,2024,Female same-sex marriages share,65.0,percent,Fundacao Seade,
Brazil,2024,Same-sex marriages,12187,count,IBGE,
Brazil,2023,Same-sex marriages,11198,count,IBGE,
Brazil,2024,Female same-sex marriages share,64.6,percent,IBGE,
Brazil,2024,All civil marriages,948925,count,IBGE,
