year,marriages_same_sex,status,source,note
2013,17,reported,CRC Nacional / Arpen via Sampi 2023,Year of CNJ Resolution 175; resolution entered into force in May
2014,22,reported,CRC Nacional / Arpen via Sampi 2023,Conflicts with Sampi 2025 narrative that uses 17 as the 2014 baseline
2015,18,reported,CRC Nacional / Arpen via Sampi 2023,
2016,16,reported,CRC Nacional / Arpen via Sampi 2023,
2017,22,reported,CRC Nacional / Arpen via Sampi 2023,
2018,22,reported,CRC Nacional / Arpen via Sampi 2023,
2019,37,reported,CRC Nacional / Arpen via Sampi 2023,
2020,20,reported,CRC Nacional / Arpen via Sampi 2023,
2021,19,reported,CRC Nacional / Arpen via Sampi 2023,
2022,34,reported,CRC Nacional / Arpen via Sampi 2023,
2023,,not_available_full_year,CRC Nacional / Arpen via Sampi 2023,12 registrations were reported only through April; this is not a full-year total
2024,62,reported,Arpen-Brasil data reported by Sampi 2025,Reported as the highest local value in the cited 2025 article
